timestamp,joint1,joint2,joint3,joint4,joint5,joint6,joint7
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.010000,2.850558,0.184487,-2.861731,-2.120509,-0.008527,1.708382,0.679176
0.020000,2.850558,0.184491,-2.861733,-2.120505,-0.008527,1.708383,0.679184
0.030000,2.850559,0.184491,-2.861737,-2.120505,-0.008527,1.708385,0.679176
0.040000,2.850559,0.184492,-2.861739,-2.120506,-0.008527,1.708385,0.679177
0.050000,2.850562,0.184490,-2.861737,-2.120512,-0.008528,1.708382,0.679175
0.060000,2.850562,0.184491,-2.861733,-2.120506,-0.008527,1.708385,0.679178
0.070000,2.850561,0.184489,-2.861737,-2.120510,-0.008527,1.708385,0.679185
0.080000,2.850564,0.184487,-2.861735,-2.120512,-0.008527,1.708383,0.679176
0.090000,2.850558,0.184487,-2.861735,-2.120508,-0.008527,1.708384,0.679179
0.100000,2.850562,0.184487,-2.861735,-2.120505,-0.008528,1.708386,0.679175
0.110000,2.850562,0.184485,-2.861733,-2.120510,-0.008527,1.708383,0.679182
0.120000,2.850562,0.184491,-2.861737,-2.120511,-0.008527,1.708383,0.679179
0.130000,2.850564,0.184492,-2.861731,-2.120503,-0.008529,1.708385,0.679180
0.140000,2.850562,0.184491,-2.861739,-2.120509,-0.008527,1.708385,0.679176
0.150000,2.850559,0.184488,-2.861735,-2.120514,-0.008528,1.708382,0.679176
0.160000,2.850562,0.184489,-2.861735,-2.120506,-0.008527,1.708384,0.679181
0.170000,2.850560,0.184488,-2.861733,-2.120506,-0.008526,1.708385,0.679177
0.180000,2.850562,0.184489,-2.861735,-2.120510,-0.008525,1.708382,0.679176
0.190000,2.850566,0.184491,-2.861735,-2.120507,-0.008526,1.708385,0.679177
0.200000,2.850564,0.184489,-2.861735,-2.120509,-0.008526,1.708385,0.679179
0.210000,2.850561,0.184487,-2.861737,-2.120517,-0.008528,1.708383,0.679181
0.220000,2.850564,0.184487,-2.861734,-2.120513,-0.008528,1.708383,0.679178
0.230000,2.850564,0.184491,-2.861737,-2.120505,-0.008528,1.708385,0.679176
0.240000,2.850564,0.184489,-2.861737,-2.120508,-0.008527,1.708382,0.679181
0.250000,2.850562,0.184492,-2.861733,-2.120505,-0.008526,1.708385,0.679176
0.260000,2.850562,0.184491,-2.861733,-2.120503,-0.008527,1.708385,0.679179
0.270000,2.850562,0.184489,-2.861733,-2.120506,-0.008527,1.708384,0.679179
0.280000,2.850560,0.184491,-2.861733,-2.120509,-0.008528,1.708382,0.679176
0.290000,2.850562,0.184491,-2.861737,-2.120513,-0.008529,1.708384,0.679181
0.300000,2.850564,0.184489,-2.861731,-2.120508,-0.008528,1.708381,0.679174
0.310000,2.850562,0.184489,-2.861737,-2.120511,-0.008527,1.708383,0.679180
0.320000,2.850562,0.184491,-2.861735,-2.120511,-0.008526,1.708383,0.679174
0.330000,2.850561,0.184489,-2.861735,-2.120509,-0.008531,1.708385,0.679176
0.340000,2.850564,0.184487,-2.861735,-2.120513,-0.008529,1.708382,0.679178
0.350000,2.850561,0.184489,-2.861735,-2.120511,-0.008527,1.708384,0.679182
0.360000,2.850562,0.184490,-2.861737,-2.120505,-0.008526,1.708384,0.679176
0.370000,2.850564,0.184489,-2.861737,-2.120511,-0.008527,1.708384,0.679176
0.380000,2.850561,0.184489,-2.861731,-2.120509,-0.008531,1.708385,0.679181
0.390000,2.850563,0.184489,-2.861735,-2.120509,-0.008531,1.708384,0.679179
0.400000,2.850563,0.184489,-2.861733,-2.120508,-0.008530,1.708385,0.679178
0.410000,2.850563,0.184489,-2.861737,-2.120511,-0.008527,1.708382,0.679173
0.420000,2.850564,0.184487,-2.861734,-2.120509,-0.008527,1.708384,0.679182
0.430000,2.850562,0.184489,-2.861737,-2.120508,-0.008528,1.708383,0.679182
0.440000,2.850565,0.184491,-2.861735,-2.120511,-0.008528,1.708383,0.679175
0.450000,2.850565,0.184489,-2.861735,-2.120508,-0.008529,1.708384,0.679179
0.460000,2.850563,0.184489,-2.861735,-2.120511,-0.008528,1.708380,0.679180
0.470000,2.850567,0.184489,-2.861737,-2.120511,-0.008528,1.708381,0.679176
0.480000,2.850564,0.184491,-2.861733,-2.120511,-0.008529,1.708383,0.679182
0.490000,2.850567,0.184491,-2.861737,-2.120508,-0.008531,1.708384,0.679181
